Name,Season,ID,SP_ERA,predicted_ERA,ERA_dif
Zach Davies,2022,605200,4.086859003,3.845314264,0.241544739
Ross Stripling,2022,548389,2.918926804,2.63684392,0.282082884
Chris Flexen,2022,623167,4.016528926,3.583748579,0.432780347
Michael Wacha,2022,608379,3.32199822,2.898631573,0.423366647
Kevin Gausman,2022,592332,3.349230107,3.009857893,0.339372214
José Berríos,2022,621244,5.23255814,4.560578823,0.671979317
Paul Blackburn,2022,621112,4.284443958,3.997615814,0.286828144
Germán Márquez,2022,608566,4.954119147,4.835464954,0.118654193
Nick Pivetta,2022,601713,4.558432912,4.152750969,0.405681943
Luis Castillo,2022,622491,2.993348824,2.60945034,0.383898484
Brad Keller,2022,641745,4.929168737,4.816878319,0.112290418
Zach Thompson,2022,605507,5.188941974,5.050210476,0.138731498
Aaron Nola,2022,605400,3.248780488,2.76982379,0.478956698
Brandon Woodruff,2022,605540,3.052180696,2.573308468,0.478872228
Tyler Mahle,2022,641816,4.400565865,3.53155756,0.869008305
Pablo López,2022,641154,3.75,3.066102028,0.683897972
Michael Kopech,2022,656629,3.544702633,3.145903587,0.398799046
Erick Fedde,2022,607200,5.811023622,5.807359695,0.003663927
JT Brubaker,2022,664141,4.6875,4.59848547,0.08901453
Mitch Keller,2022,656605,3.941176471,3.932627201,0.00854927
Cristian Javier,2022,664299,2.679907543,2.454842329,0.225065214
Triston McKenzie,2022,663474,2.915049522,2.750828028,0.164221494
James Kaprielian,2022,621076,4.231343284,4.070568562,0.160774722
José Urquidy,2022,664353,3.880911638,3.106228352,0.774683286
Sandy Alcantara,2022,645261,2.282795432,2.138476372,0.14431906
Dakota Hudson,2022,641712,4.543891109,4.194900036,0.348991073
Cal Quantrill,2022,615698,3.381043751,3.233317614,0.147726137
Dean Kremer,2022,665152,3.225,3.136619568,0.088380432
Corbin Burnes,2022,669203,2.940594059,2.585430145,0.355163914
Dane Dunning,2022,641540,4.460879479,4.369005203,0.091874276
Shane Bieber,2022,669456,2.88,2.632141113,0.247858887
Aaron Civale,2022,650644,4.917525773,4.486199856,0.431325917
Kyle Wright,2022,657140,3.194091064,2.983346462,0.210744602
Shohei Ohtani,2022,660271,2.331325301,2.089040756,0.242284545
Ian Anderson,2022,666120,4.997000017,4.514303684,0.482696333
Bryse Wilson,2022,669060,5.978573709,5.118661404,0.859912305
Tyler Wells,2022,669330,4.254005622,3.690628529,0.563377093
Joe Ryan,2022,657746,3.551020408,3.096972704,0.454047704
Hunter Greene,2022,668881,4.440306531,3.786518335,0.653788196
Jonathan Heasley,2022,669169,5.278846154,5.138197899,0.140648255
Luis Garcia,2022,677651,3.718228393,3.696707249,0.021521144
Josiah Gray,2022,680686,5.024652159,4.093356133,0.931296026
Kyle Bradish,2022,680694,4.895170276,4.529470444,0.365699832
Brady Singer,2022,663903,3.108344971,2.898915291,0.20942968
Drew Rasmussen,2022,656876,2.835616438,2.476797581,0.358818857
George Kirby,2022,669923,3.392307692,3.23965168,0.152656012
Spencer Strider,2022,675911,2.767089334,2.631170988,0.135918346
Zack Greinke,2023,425844,5.015267176,3.864156246,1.15111093
Adam Wainwright,2023,425794,7.396039604,6.573833942,0.822205662
Lance Lynn,2023,458681,5.733201942,5.249485016,0.483716926
Max Scherzer,2023,453286,3.772917531,3.281926394,0.490991137
Charlie Morton,2023,450203,3.636742282,3.48935318,0.147389102
Carlos Carrasco,2023,471911,6.8,6.048472881,0.751527119
Jordan Lyles,2023,543475,6.281413843,5.156251431,1.125162412
Justin Verlander,2023,434378,3.215606455,2.910899878,0.304706577
Nathan Eovaldi,2023,543135,3.625,2.977388382,0.647611618
Miles Mikolas,2023,571945,4.783120679,4.321464062,0.461656617
Kyle Gibson,2023,502043,4.734375,3.937317848,0.797057152
Zack Wheeler,2023,554430,3.609375,2.645404816,0.963970184
Merrill Kelly,2023,518876,3.292676611,2.911231279,0.381445332
Jameson Taillon,2023,592791,4.968969135,4.768931389,0.200037746
Taijuan Walker,2023,592836,4.378369737,3.950121164,0.428248573
Kyle Hendricks,2023,543294,3.744525547,3.642913103,0.101612444
Chris Bassitt,2023,605135,3.6,3.365016937,0.234983063
Colin Rea,2023,607067,4.750719214,4.233050346,0.517668868
Seth Lugo,2023,607625,3.567206485,3.207313776,0.359892709
Sonny Gray,2023,543243,2.788043478,2.494492769,0.293550709
Mike Clevinger,2023,605182,3.769045313,3.014431715,0.754613598
Yu Darvish,2023,506433,4.555023611,4.24584341,0.309180201
Gerrit Cole,2023,543037,2.626794258,2.433997869,0.192796389
Marcus Stroman,2023,573186,4.03988995,3.49028492,0.54960503
Zach Eflin,2023,621107,3.495302864,2.887804747,0.607498117
Michael Wacha,2023,608379,3.215889051,2.88529706,0.330591991
Kevin Gausman,2023,592332,3.162162162,2.958104134,0.204058028
José Berríos,2023,621244,3.653771994,3.044547796,0.609224198
Paul Blackburn,2023,621112,4.295440607,4.240725994,0.054714613
Michael Lorenzen,2023,547179,4.056044722,3.668919563,0.387125159
Jon Gray,2023,592351,4.118652989,3.444103956,0.674549033
Lucas Giolito,2023,608337,4.882457578,4.685230732,0.197226846
Luis Castillo,2023,622491,3.335025381,2.810763359,0.524262022
Aaron Nola,2023,605400,4.461265816,3.804668903,0.656596913
